epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1948,1.76349,4.25881,1.94853,0,0,0,0,0.9946,5.21142,1.92377,3.045e-05,3.045e-05,3.045e-05
2,139.622,1.63814,4.21696,1.85332,0,0,0,0,1.08337,5.50493,1.80051,6.20201e-05,6.20201e-05,6.20201e-05
3,205.75,1.44286,4.04076,1.66924,0,0,0,0,1.16998,5.4513,1.93011,9.01451e-05,9.01451e-05,9.01451e-05
4,272.804,1.51235,3.9727,1.72556,0,0,0,0,1.5383,5.44891,2.10371,0.000114825,0.000114825,0.000114825
5,338.412,1.40605,3.69261,1.65189,0.5,0.5,0.4975,0.24875,1.37587,5.39467,2.07598,0.000136059,0.000136059,0.000136059
6,402.208,1.34947,3.52459,1.60136,0.16667,0.5,0.4975,0.2985,1.63205,5.01188,2.36575,0.000153849,0.000153849,0.000153849
7,465.185,1.45116,3.28019,1.70071,0.07143,0.5,0.4975,0.34825,1.57268,4.83202,2.36009,0.000168193,0.000168193,0.000168193
8,529.422,1.37559,3.1168,1.62043,0.05,0.5,0.4975,0.398,1.31789,4.56847,2.2683,0.000179092,0.000179092,0.000179092
9,595.142,1.38098,3.01106,1.60034,0.3245,0.5,0.4975,0.398,1.56154,4.1681,2.33952,0.000186545,0.000186545,0.000186545
10,659.136,1.35273,2.74068,1.58185,0.36273,0.5,0.4975,0.34825,2.09122,4.4618,2.76524,0.000190554,0.000190554,0.000190554
11,723.557,1.46122,2.91495,1.82409,0.02941,0.5,0.4975,0.34825,2.34842,4.30144,2.87039,0.000191117,0.000191117,0.000191117
12,788.137,1.3866,2.85919,1.75462,0.79502,0.5,0.4975,0.2985,2.4399,4.15997,3.04653,0.000188235,0.000188235,0.000188235
13,855.466,1.25501,2.79168,1.72048,0.88782,0.5,0.4975,0.20729,2.71791,4.01361,3.34023,0.00017661,0.00017661,0.00017661
14,918.692,1.30118,2.76445,1.70155,0.85702,0.5,0.4975,0.199,2.60472,4.00382,3.23876,0.000155078,0.000155078,0.000155078
15,981.765,1.26459,2.6186,1.65461,0.8218,0.5,0.4975,0.2985,2.4909,4.44794,3.13099,0.000133545,0.000133545,0.000133545
16,1044.89,1.21994,2.57329,1.62976,0.86411,0.5,0.4975,0.34825,2.42808,4.50291,3.12995,0.000112013,0.000112013,0.000112013
17,1107.11,1.27106,2.55357,1.63557,0.91899,0.5,0.53304,0.30205,2.48268,4.58244,3.25403,9.048e-05,9.048e-05,9.048e-05
18,1169.88,1.22538,2.37953,1.64214,0.95222,0.5,0.52368,0.25661,2.51289,4.39977,3.3917,6.89475e-05,6.89475e-05,6.89475e-05
19,1232.97,1.18291,2.32331,1.56187,0.96779,0.5,0.52011,0.25553,2.54168,4.23879,3.53522,4.7415e-05,4.7415e-05,4.7415e-05
20,1294.53,1.2117,2.34047,1.60461,0.97386,0.5,0.52011,0.25553,2.58222,4.2014,3.58779,2.58825e-05,2.58825e-05,2.58825e-05
