epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.165,1.81911,4.48574,1.95179,0,0,0,0,1.90431,4.65824,2.12391,7.825e-05,7.825e-05,7.825e-05
2,585.378,1.69074,4.3487,1.85906,0.00952,0.06667,0.04276,0.02735,1.82816,4.57261,2.10447,0.000154362,0.000154362,0.000154362
3,831.355,1.60839,4.00334,1.77455,0.71091,0.06667,0.1048,0.0643,1.94242,4.3699,2.1848,0.000225103,0.000225103,0.000225103
4,1096.03,1.65269,3.5987,1.8027,0.97954,0.06667,0.12732,0.06456,1.97337,4.75066,2.26074,0.000282013,0.000282013,0.000282013
5,1352.16,1.61232,3.28637,1.79107,0.75501,0.14718,0.16286,0.07947,2.1539,4.11671,2.44056,0.000271684,0.000271684,0.000271684
6,1604.01,1.60026,3.17869,1.79304,0.41038,0.16878,0.16276,0.09263,2.04084,3.99669,2.33229,0.000261355,0.000261355,0.000261355
7,1859.22,1.62467,3.00042,1.78857,0.45375,0.28589,0.23921,0.13965,2.07057,3.77178,2.42889,0.000251026,0.000251026,0.000251026
8,2117.21,1.60683,2.89335,1.77662,0.26603,0.27804,0.28174,0.1319,2.02196,3.80819,2.40286,0.000240697,0.000240697,0.000240697
9,2362.39,1.6087,2.74551,1.79614,0.46943,0.40203,0.34472,0.16225,2.05717,3.4269,2.40564,0.000230368,0.000230368,0.000230368
10,2615.52,1.54716,2.64996,1.74284,0.57385,0.29815,0.32081,0.15748,2.01827,3.28801,2.28212,0.000220039,0.000220039,0.000220039
11,2884.6,1.55016,2.53149,1.73938,0.4509,0.45783,0.44296,0.23853,1.99272,3.25162,2.27657,0.00020971,0.00020971,0.00020971
12,3138.74,1.55931,2.52769,1.74174,0.59611,0.35258,0.41952,0.22159,2.01046,3.44386,2.34271,0.000199381,0.000199381,0.000199381
13,3389.6,1.55288,2.52515,1.72013,0.56579,0.43478,0.46375,0.23092,2.07809,3.12387,2.42414,0.000189052,0.000189052,0.000189052
14,3639.08,1.5427,2.31896,1.69892,0.64334,0.41486,0.42357,0.19795,2.00411,3.39822,2.34715,0.000178723,0.000178723,0.000178723
15,3871.84,1.51615,2.38146,1.6987,0.63297,0.42027,0.46843,0.21936,2.06705,3.23731,2.34245,0.000168394,0.000168394,0.000168394
16,4727.13,1.48284,2.27105,1.67407,0.40541,0.46848,0.44439,0.22675,2.05177,3.20112,2.37314,0.000158065,0.000158065,0.000158065
17,4964.14,1.48092,2.23161,1.67665,0.55793,0.47298,0.43613,0.20524,2.07972,3.04554,2.40632,0.000147736,0.000147736,0.000147736
18,5198.39,1.45921,2.16481,1.65336,0.43531,0.4719,0.43525,0.23031,2.04518,3.10098,2.34943,0.000137407,0.000137407,0.000137407
19,5424.83,1.41769,2.1217,1.61941,0.60003,0.38902,0.41843,0.22705,2.02127,3.13737,2.34354,0.000127078,0.000127078,0.000127078
20,5737.96,1.40271,2.06217,1.61344,0.59145,0.46442,0.4914,0.2511,2.03686,3.0476,2.4211,0.000116749,0.000116749,0.000116749
21,5981.71,1.45487,2.25495,1.74172,0.71564,0.42443,0.50478,0.24807,2.02619,3.1,2.34041,0.00010642,0.00010642,0.00010642
22,6265.61,1.44155,2.26042,1.7231,0.60753,0.453,0.42874,0.21911,2.02551,2.96623,2.37807,9.6091e-05,9.6091e-05,9.6091e-05
23,6739.38,1.37409,2.10036,1.69956,0.54078,0.46351,0.44085,0.23596,2.11183,2.86867,2.47714,8.5762e-05,8.5762e-05,8.5762e-05
24,7132.02,1.36694,2.09249,1.6794,0.53792,0.48964,0.48418,0.2655,1.97847,2.86306,2.3351,7.5433e-05,7.5433e-05,7.5433e-05
25,7516.51,1.32691,2.0201,1.679,0.51388,0.493,0.50724,0.27721,1.91692,2.91618,2.29056,6.5104e-05,6.5104e-05,6.5104e-05
26,7740.91,1.33406,2.0165,1.66963,0.50764,0.45914,0.49159,0.25743,1.94859,2.91874,2.33719,5.4775e-05,5.4775e-05,5.4775e-05
27,8619.89,1.3449,1.99607,1.66614,0.51105,0.46861,0.4816,0.2406,1.95793,2.90987,2.34588,4.4446e-05,4.4446e-05,4.4446e-05
28,8865.58,1.28427,1.95267,1.62857,0.56126,0.49507,0.48886,0.22538,2.01076,2.89966,2.37301,3.4117e-05,3.4117e-05,3.4117e-05
29,9138.15,1.28717,1.94849,1.63379,0.62109,0.49583,0.54036,0.25199,2.01559,2.8764,2.36333,2.3788e-05,2.3788e-05,2.3788e-05
30,9566.16,1.28503,1.92555,1.62406,0.63449,0.50161,0.54943,0.26538,2.014,2.87382,2.36567,1.3459e-05,1.3459e-05,1.3459e-05
